tweet_clean,Tweet,sentiment,sentiment_scores,neg,neu,pos,compound,sentiment_label,text_processed_raw,text_processed
"['abraj', 'al', 'bait', 'clock', 'tower', 'beams', 'indicating', 'commencement', 'ramadan']",abraj al bait clock tower beams indicating commencement ramadan,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral,abraj al bait clock tower beams indicating commencement ramadan,abraj al bait clock tower beam indicating commencement ramadan
"['accounts', 'recognised', 'ramadan', 'none', 'recognised', 'beginning', 'lent', 'even', 'nod', 'pancakes', 'shrove', 'tuesday', 'britain', 'christian', 'country', 'wake', 'britons', 'everything', 'attack']",accounts recognised ramadan none recognised beginning lent even nod pancakes shrove tuesday britain christian country wake britons everything attack,2,"{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.4767}",0.147,0.853,0.0,-0.4767,neutral,accounts recognised ramadan none recognised beginning lent even nod pancakes shrove tuesday britain christian country wake britons everything attack,account recognised ramadan none recognised beginning lent even nod pancake shrove tuesday britain christian country wake briton everything attack
"['admin', 'post', 'peaceful', 'ramadan', 'celebrations', 'east', 'london', 'last', 'night']",admin post peaceful ramadan celebrations east london last night,2,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.4939}",0.0,0.714,0.286,0.4939,neutral,admin post peaceful ramadan celebrations east london last night,admin post peaceful ramadan celebration east london last night
"['admin', 'post', 'ramadan', 'norway']",admin post ramadan norway,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral,admin post ramadan norway,admin post ramadan norway
"['admin', 'post', 'ramadan', 'usual', 'peaceful', 'start', 'england s', 'second', 'largest', 'city', 'birmingham']",admin post ramadan usual peaceful start england s second largest city birmingham,2,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4939}",0.0,0.775,0.225,0.4939,neutral,admin post ramadan usual peaceful start england s second largest city birmingham,admin post ramadan usual peaceful start england second largest city birmingham
"['alfas', 'inside', 'mega', 'chicken', 'afternoon', 'ramadan']",alfas inside mega chicken afternoon ramadan,2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,1.0,0.0,0.0,neutral,alfas inside mega chicken afternoon ramadan,alfas inside mega chicken afternoon ramadan
"['alhamdulillah', 'every', 'lesson', 'every', 'prayer', 'brings', 'closer', 'peace', 'sacred', 'month', 'ramadan', 'find', 'renewed', 'hope', 'inspiration', 'forever', 'thankful', 'almighty', 'allah s', 'light', 'guides']",alhamdulillah every lesson every prayer brings closer peace sacred month ramadan find renewed hope inspiration forever thankful almighty allah s light guides,2,"{'neg': 0.0, 'neu': 0.571, 'pos': 0.429, 'compound': 0.926}",0.0,0.571,0.429,0.926,neutral,alhamdulillah every lesson every prayer brings closer peace sacred month ramadan find renewed hope inspiration forever thankful almighty allah s light guides,alhamdulillah every lesson every prayer brings closer peace sacred month ramadan find renewed hope inspiration forever thankful almighty allah light guide
"['allah', 'forgive', 'us', 'sins', 'past', 'future', 'public', 'private', 'knowingly', 'unknowingly', 'major', 'minor', 'welcome', 'ramadan', '']",allah forgive us sins past future public private knowingly unknowingly major minor welcome ramadan,2,"{'neg': 0.155, 'neu': 0.568, 'pos': 0.278, 'compound': 0.3353}",0.155,0.568,0.278,0.3353,neutral,allah forgive us sins past future public private knowingly unknowingly major minor welcome ramadan ,allah forgive u sin past future public private knowingly unknowingly major minor welcome ramadan
"['allah', 'help', 'brothers', 'gaza', 'lift', 'siege', 'brothers', 'despite', 'israeli', 'restrictions', 'palestinians', 'performed', 'taraweeh', 'prayers', 'evening', 'alaqsamosque', 'ramadan']",allah help brothers gaza lift siege brothers despite israeli restrictions palestinians performed taraweeh prayers evening alaqsamosque ramadan,2,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4019}",0.0,0.856,0.144,0.4019,neutral,allah help brothers gaza lift siege brothers despite israeli restrictions palestinians performed taraweeh prayers evening alaqsamosque ramadan,allah help brother gaza lift siege brother despite israeli restriction palestinian performed taraweeh prayer evening alaqsamosque ramadan
"['allah', 'help', 'us', 'al-aqsa', 'prisons', 'oppressors', 'gaza', 'west', 'bank', 'complain', 'weakness', 'despite', 'israeli', 'restrictions', 'palestinians', 'performed', 'taraweeh', 'prayers', 'evening', 'alaqsamosque', 'ramadan']",allah help us al-aqsa prisons oppressors gaza west bank complain weakness despite israeli restrictions palestinians performed taraweeh prayers evening alaqsamosque ramadan,2,"{'neg': 0.204, 'neu': 0.692, 'pos': 0.104, 'compound': -0.3818}",0.204,0.692,0.104,-0.3818,neutral,allah help us al-aqsa prisons oppressors gaza west bank complain weakness despite israeli restrictions palestinians performed taraweeh prayers evening alaqsamosque ramadan,allah help u prison oppressor gaza west bank complain weakness despite israeli restriction palestinian performed taraweeh prayer evening alaqsamosque ramadan
"['allah', 'owner', 'everything', 'plz', 'say', 'yes', 'prayers', 'make', 'loved', 'ones', 'happy', 'ameen', '', 'happy', 'th', 'ramadan', 'morning']",allah owner everything plz say yes prayers make loved ones happy ameen happy th ramadan morning,1,"{'neg': 0.0, 'neu': 0.418, 'pos': 0.582, 'compound': 0.936}",0.0,0.418,0.582,0.936,positive,allah owner everything plz say yes prayers make loved ones happy ameen  happy th ramadan morning,allah owner everything plz say yes prayer make loved one happy ameen happy th ramadan morning
